CODE;DATE_COLLECTE;DATE_HEURE_DEBUT;DATE_HEURE_FIN;MISSION;IMMAT;LIBELLE_CIRCUIT;TEMPS_D_ACTIVITE;TEMPS_D_ARRET;TEMPS_DE_MOTEUR_OFF;TEMPS_DE_PAUSE;TEMPS_DE_MARCHE_ARRIERE;TEMPS_DE_SERVICE;KM_D_ACTIVITE;KM_DE_HLP;KM_DE_MARCHE_ARRIERE;KM_DE_SERVICE;SOURCE;CODE_CIRCUIT;SECTEUR_CIRCUIT;TOURNEE_CIRCUIT;JOURS_CIRCUIT;FLUX_CIRCUIT
AUTO38796;11/12/2023;11/12/2023;11/12/2023;Collecte;HHrKcPoPW1;SUD_T06_CLAIX HT_LUN_OMR_120051;0;;;;;2123;0;2,14;;2,14;GAM;120051;SUD;T06;LUN;OMR
AUTO38797;11/12/2023;11/12/2023;11/12/2023;Collecte;u16rgi3exd;SUD_T05_GRE CP ECH COL_LUN_CS_120013;5315;223;;;76;15924;4,7;51,81;0,05;56,51;GAM;120013;SUD;T05;LUN;CS
AUTO38798;11/12/2023;11/12/2023;11/12/2023;Collecte;j1h4gptjli;GS_T06_VIF 1_LUN_OMR_129016;7247;397;809;;40;15530;18,87;85,21;0;104,08;GAM;129016;GS;T06;LUN;OMR
AUTO38799;11/12/2023;11/12/2023;11/12/2023;Collecte;9tcc9i42vm;GS_T07_VIF 2_LUN_OMR_129016;123;1541;664;;123;18806;0,03;88,31;0,03;88,34;GAM;129016;GS;T07;LUN;OMR
AUTO38802;11/12/2023;11/12/2023;11/12/2023;Collecte;v8ciubqaen;SUD_T04_ECH COLL RD_LUN_CS_120006;0;1214;2807;;;16713;0;43,6;;43,6;GAM;120006;SUD;T04;LUN;CS
AUTO38803;11/12/2023;11/12/2023;11/12/2023;Collecte;59av7mpv00;SUD_T08_IDENTIF_LUN_CS_120059;12201;1035;;;35;16747;12,47;23,37;0,01;35,84;GAM;120059;SUD;T08;LUN;CS
AUTO38804;11/12/2023;11/12/2023;11/12/2023;Collecte;1t8IcmYe1z;SUD_T09_IDENTIF_LUN_CS_120061;7966;60;;;60;9107;7,33;4,36;0;11,69;GAM;120061;SUD;T09;LUN;CS
AUTO38805;11/12/2023;11/12/2023;11/12/2023;Collecte;uqvjh3gzxu;SUD_T10_IDENTIF_LUN_CS_120063;9726;383;12;;159;13551;10,96;28,15;0,01;39,11;GAM;120063;SUD;T10;LUN;CS
AUTO38810;11/12/2023;11/12/2023;11/12/2023;Collecte;oxe1pddfqt;;11685;31;;;127;15501;13,31;23,08;0,07;36,39;GAM;;;;;
AUTO38811;11/12/2023;11/12/2023;11/12/2023;Collecte;72hgb55djb;;0;754;1048;;;15053;0;73,33;;73,33;GAM;;;;;
AUTO38806;11/12/2023;11/12/2023;11/12/2023;Collecte;HHrKcPoPW1;SUD_T06_CLAIX HT_LUN_OMR_120051;0;242;;;;484;0;0,75;;0,75;GAM;120051;SUD;T06;LUN;OMR
AUTO38807;11/12/2023;11/12/2023;11/12/2023;Collecte;dcw2igdtrd;SUD_T02_ECH GRE COLL_LUN_CS P_120034;199;12;;;199;2326;0,17;5,55;0,17;5,72;GAM;120034;SUD;T02;LUN;CS P
AUTO38808;11/12/2023;11/12/2023;11/12/2023;Collecte PAV;57igmhyovd;PAV_1771_ECH PDC SEY GRE_LUN_OMR_170001;21;260;1036;;21;4566;0,01;10,45;0,01;10,46;GAM;170001;PAV;1771;LUN;OMR
AUTO39047;11/12/2023;11/12/2023;11/12/2023;Collecte;3vd60rp65f;;431;2235;4211;;;13594;0,1;49,16;;49,26;GAM;;;;;
AUTO38809;11/12/2023;11/12/2023;11/12/2023;Collecte;HHrKcPoPW1;SUD_T06_CLAIX HT_LUN_OMR_120051;0;494;241;;;1366;0;4,55;;4,55;GAM;120051;SUD;T06;LUN;OMR
AUTO38812;11/12/2023;11/12/2023;11/12/2023;Collecte;HHrKcPoPW1;SUD_T06_CLAIX HT_LUN_OMR_120051;8302;60;1381;;;14870;14,67;46,59;;61,26;GAM;120051;SUD;T06;LUN;OMR
AUTO38813;11/12/2023;11/12/2023;11/12/2023;Collecte;dcw2igdtrd;SUD_T02_ECH GRE COLL_LUN_CS P_120034;128;557;;;128;12118;0,04;28,7;0,04;28,74;GAM;120034;SUD;T02;LUN;CS P
AUTO38800;11/12/2023;11/12/2023;11/12/2023;Collecte;y2qwjva4su;GS_T08_VIZILLE_LUN_OMR_160005;3714;60;717;;23;9757;6,07;69,45;0,01;75,52;GAM;160005;GS;T08;LUN;OMR
AUTO38815;11/12/2023;11/12/2023;11/12/2023;Transport;aef992hscu;;728;2792;4270;;728;17509;0,4;74,41;0,4;74,81;GAM;;;;;
AUTO38814;11/12/2023;11/12/2023;11/12/2023;Collecte;1t8IcmYe1z;SUD_T09_IDENTIF_LUN_CS_120061;3699;40;2166;;33;9040;3,16;22,66;0,01;25,82;GAM;120061;SUD;T09;LUN;CS
AUTO38816;11/12/2023;11/12/2023;11/12/2023;Collecte;cpixtr8npf;;0;2241;2631;;;12916;0;77,9;;77,9;GAM;;;;;
AUTO39136;17/12/2023;17/12/2023;17/12/2023;Collecte;nczhm372sk;;0;1514;;;;4065;0;31,21;;31,21;GAM;;;;;
AUTO121015;19/12/2023;19/12/2023;19/12/2023;Collecte PAV;iQvIyo4QsY;CAMPUS - OMR - M-J-S;0;;;;;27212;0;59,54;;59,54;Eco-dechet;;;;;
AUTO121021;19/12/2023;19/12/2023;;Collecte;La6X1LIsmI;NOYAREY 1802 MAR OMR V2;0;;;;;0;0;84,5;;84,5;Eco-dechet;;;;;
AUTO121024;19/12/2023;19/12/2023;;Collecte;zfpM2tUEF0;NO_T04_NOYAR_MAR_CS_978;0;;;;;0;0;64,3;;64,3;Eco-dechet;;;;;
AUTO121031;19/12/2023;19/12/2023;19/12/2023;Collecte;G9r6AqnDss;GRENOBLE T3 1728 MAR DALIM;0;;;;;18071;0;60,11;;60,11;Eco-dechet;;;;;
AUTO39844;30/12/2023;30/12/2023;;Collecte;qshw7egqjb;;4308;520;;;193;0;6,47;19,38;0,04;25,85;GAM;;;;;
AUTO39845;30/12/2023;30/12/2023;;Transport;Bj5S5eVr9N;;791;5271;2587;;791;0;0,29;95,05;0,29;95,34;GAM;;;;;
AUTO39846;30/12/2023;30/12/2023;;Transport;m6n5m046hj;;1425;5541;10876;;1425;0;0,56;118,06;0,56;118,62;GAM;;;;;
AUTO39847;30/12/2023;30/12/2023;;Transport;aef992hscu;;246;1623;5836;;246;0;0,22;90,55;0,22;90,77;GAM;;;;;
