CODE;DATE_COLLECTE;DATE_HEURE_DEBUT;DATE_HEURE_FIN;MISSION;IMMAT;LIBELLE_CIRCUIT;TEMPS_D_ACTIVITE;TEMPS_D_ARRET;TEMPS_DE_MOTEUR_OFF;TEMPS_DE_PAUSE;TEMPS_DE_MARCHE_ARRIERE;TEMPS_DE_SERVICE;KM_D_ACTIVITE;KM_DE_HLP;KM_DE_MARCHE_ARRIERE;KM_DE_SERVICE;SOURCE;CODE_CIRCUIT;SECTEUR_CIRCUIT;TOURNEE_CIRCUIT;JOURS_CIRCUIT;FLUX_CIRCUIT
AUTO33428;4/9/2023;4/9/2023;;Collecte;j364urbaz5;NE_T01_TRONC MEYS2_LUN JEU_OMR_110004;12292;480;;;89;0;18,92;33,26;0,04;52,18;GAM;110004;NE;T01;LUN JEU;OMR
AUTO33429;4/9/2023;4/9/2023;;Collecte;oF7I4xGfPC;NE_T17_GRE GRENETTE MALHERBE_LUN JEU_OMR_110006;7604;944;3050;;117;0;6,91;20,1;0,05;27,01;GAM;110006;NE;T17;LUN JEU;OMR
AUTO33430;4/9/2023;4/9/2023;;Collecte;0jbxz085fw;NO_T10_GRE VALLIER_LUN JEU_CS_151010;0;1713;581;;;0;0;30,35;;30,35;GAM;151010;NO;T10;LUN JEU;CS
AUTO33436;4/9/2023;4/9/2023;;Collecte;fknz9lrv64;;0;982;4416;;;0;0;56,01;;56,01;GAM;;;;;
AUTO33437;4/9/2023;4/9/2023;;Collecte;jvdwb1fexp;;57;816;1512;;;0;0,08;27,33;;27,41;GAM;;;;;
AUTO33444;4/9/2023;4/9/2023;;Collecte;zp1g9jrpi1;;85;32;8091;;85;0;0,04;11,03;0,04;11,07;GAM;;;;;
AUTO33439;4/9/2023;4/9/2023;;Transport;61FRWBjauh;;1345;7551;180;;1345;0;0,33;78,75;0,33;79,08;GAM;;;;;
AUTO33440;4/9/2023;4/9/2023;4/9/2023;Collecte PAV;cewxgzybhe;TEST PAV_1771_LA LUIRE_MER_CS_170005;248;18054;348;;248;25746;0,11;69,3;0,11;69,41;GAM;170005;TEST PAV;1771;MER;CS
AUTO33441;4/9/2023;4/9/2023;4/9/2023;Collecte PAV;8qtjzvpvsd;circuit libre;179;9106;510;;179;17276;0,1;43,13;0,1;43,23;GAM;;circuit libre;;;
AUTO33442;4/9/2023;4/9/2023;;Collecte PAV;37ix70x3dv;;115;6104;;;115;0;0,08;82,67;0,08;82,75;GAM;;;;;
AUTO33443;4/9/2023;4/9/2023;;Collecte;csu9voc7bl;;0;;272;;;0;0;5,08;;5,08;GAM;;;;;
AUTO33445;4/9/2023;4/9/2023;;Collecte PAV;Mbtg7C288o;;51;7302;2709;;51;0;0,03;29,27;0,03;29,3;GAM;;;;;
AUTO33446;4/9/2023;4/9/2023;;Collecte;a4rn5sg8yd;SUD_T12R_PONT CLAIX OUEST_LUN_OMR_120048;20619;32;60;;141;0;28;48,01;0,14;76,01;GAM;120048;SUD;T12R;LUN;OMR
AUTO33458;4/9/2023;4/9/2023;;Collecte;cpixtr8npf;;0;15134;1911;;;0;0;97,39;;97,39;GAM;;;;;
AUTO33447;4/9/2023;4/9/2023;;Collecte;u16rgi3exd;SUD_T05_GRE CP ECH COL_LUN_CS_120013;6399;50;;;48;0;4,57;40,26;0,02;44,83;GAM;120013;SUD;T05;LUN;CS
AUTO33448;4/9/2023;4/9/2023;4/9/2023;Collecte;nlz4jniqc3;GS_T08_VIZILLE_LUN_OMR_160005;10366;27;;;116;16213;14,22;77,49;0,03;91,71;GAM;160005;GS;T08;LUN;OMR
AUTO33449;4/9/2023;4/9/2023;;Collecte;j1h4gptjli;GS_T06_VIF 1_LUN_OMR_129016;7114;4;367;;54;0;16,56;86,23;0,02;102,79;GAM;129016;GS;T06;LUN;OMR
AUTO33450;4/9/2023;4/9/2023;4/9/2023;Collecte;9tcc9i42vm;GS_T06_VIF 1_LUN_OMR_129016;70;206;656;;70;16363;0,02;93,64;0,02;93,66;GAM;129016;GS;T06;LUN;OMR
AUTO33459;4/9/2023;4/9/2023;;Collecte;BqsVQSMm80;;104;310;60;;104;0;0,04;11,68;0,04;11,72;GAM;;;;;
AUTO33451;4/9/2023;4/9/2023;4/9/2023;Collecte;oxe1pddfqt;SUD_T11_IDENTIF_LUN_CS_120065;9876;490;3;;28;13322;12;28,48;0,01;40,48;GAM;120065;SUD;T11;LUN;CS
AUTO33453;4/9/2023;4/9/2023;;Collecte;v8ciubqaen;SUD_T08_IDENTIF_LUN_CS_120059;0;1191;2548;;;0;0;32,25;;32,25;GAM;120059;SUD;T08;LUN;CS
AUTO33460;4/9/2023;4/9/2023;;Collecte;7nHTChwECF;;9232;60;;;161;0;14,31;29,53;0,09;43,84;GAM;;;;;
AUTO33452;4/9/2023;4/9/2023;4/9/2023;Collecte;ikv5vt40ba;SUD_T03_ECH COLL_LUN_CS_120035;21;4177;;;21;15405;0,01;21,27;0,01;21,28;GAM;120035;SUD;T03;LUN;CS
AUTO33454;4/9/2023;4/9/2023;4/9/2023;Collecte;uqvjh3gzxu;SUD_T10_IDENTIF_LUN_CS_120063;10110;41;378;;68;15946;12,08;48,97;0,01;61,05;GAM;120063;SUD;T10;LUN;CS
AUTO33455;4/9/2023;4/9/2023;;Collecte;1t8IcmYe1z;SUD_T09_IDENTIF_LUN_CS_120061;14120;60;;;155;0;12,55;24,77;0,05;37,32;GAM;120061;SUD;T09;LUN;CS
AUTO33456;4/9/2023;4/9/2023;4/9/2023;Collecte;dcw2igdtrd;SUD_T02_ECH GRE COLL_LUN_CS P_120034;180;1457;384;;180;11306;0,03;40,06;0,03;40,09;GAM;120034;SUD;T02;LUN;CS P
AUTO33461;4/9/2023;4/9/2023;;Collecte;72hgb55djb;;0;818;2155;;;0;0;72,54;;72,54;GAM;;;;;
AUTO33457;4/9/2023;4/9/2023;;Collecte;HHrKcPoPW1;SUD_T06_CLAIX HT_LUN_OMR_120051;9220;697;2388;;178;0;18,13;41,91;0,16;60,04;GAM;120051;SUD;T06;LUN;OMR
AUTO33462;4/9/2023;4/9/2023;;Collecte;7joy6o7022;;0;886;;;;0;0;21,08;;21,08;GAM;;;;;
AUTO33464;4/9/2023;4/9/2023;;Transport;aef992hscu;;656;5433;2136;;656;0;0,46;96,32;0,46;96,78;GAM;;;;;
AUTO33465;4/9/2023;4/9/2023;;Collecte;57igmhyovd;;19;267;;;19;0;0;18,31;0;18,31;GAM;;;;;
AUTO33466;4/9/2023;4/9/2023;;Transport;m6n5m046hj;;25;;1426;;25;0;0,01;6,82;0,01;6,83;GAM;;;;;
AUTO33468;4/9/2023;4/9/2023;;Transport;5eitxzjt9l;;0;599;3387;;;0;0;31,29;;31,29;GAM;;;;;
AUTO33467;4/9/2023;4/9/2023;4/9/2023;Collecte PAV;72WCpsL0Lb;circuit libre;0;;;;;4892;0;0,11;;0,11;GAM;;circuit libre;;;
AUTO33469;4/9/2023;4/9/2023;4/9/2023;Collecte PAV;72WCpsL0Lb;circuit libre;0;;;;;890;0;0,03;;0,03;GAM;;circuit libre;;;
AUTO33470;4/9/2023;4/9/2023;;Collecte PAV;72WCpsL0Lb;circuit libre;0;;;;;0;0;0;;0;GAM;;circuit libre;;;
AUTO29034;12/6/2023;12/6/2023;12/6/2023;Collecte;chy6rxpckl;GS_T04_NDM CHPDRAC_LUN_OMR;0;667;1216;;;19602;0;53,33;;53,33;GAM;;GS;T04;LUN;OMR
AUTO29035;12/6/2023;12/6/2023;12/6/2023;Collecte;912yxz768z;GS_T01_MTCHB STBS CHPG_LUN_OMR;10443;2242;1336;;56;20884;16,65;58,33;0,03;74,98;GAM;;GS;T01;LUN;OMR
AUTO29036;12/6/2023;12/6/2023;12/6/2023;Collecte;nlz4jniqc3;GS_T03_JARRIE SECTEUR 1 COLL_LUN_OMR;12771;21;;;619;21872;20,86;35,56;0,66;56,42;GAM;;GS;T03;LUN;OMR
AUTO29037;12/6/2023;12/6/2023;;Collecte;uzqctwc7pp;NE_T19_GRE CONDORCET G RAMBAUD_LUN JEU_OMR_110022;34;1062;5627;;34;0;0,01;30,19;0,01;30,2;GAM;110022;NE;T19;LUN JEU;OMR
AUTO29038;12/6/2023;12/6/2023;;Collecte;htl2qtq856;GS_T02_CASERNE VARCES_LUN_OMR_160009;9457;2486;1598;;55;0;15,57;72,76;0,03;88,33;GAM;160009;GS;T02;LUN;OMR
AUTO29039;12/6/2023;12/6/2023;12/6/2023;Collecte;pgf8clwyux;NO_T09_GRE MARTYRS_LUN JEU_CS_151005;62;2022;1669;;62;20394;0,04;33,4;0,04;33,44;GAM;151005;NO;T09;LUN JEU;CS
AUTO29040;12/6/2023;12/6/2023;12/6/2023;Collecte;ux94b14wke;NO_T06_ST EGREVE N_LUN JEU_CS_142006;14;17;2936;;14;7072;0,01;11,69;0,01;11,7;GAM;142006;NO;T06;LUN JEU;CS
AUTO29041;12/6/2023;12/6/2023;12/6/2023;Collecte;ukgs1JXztl;NO_T02_FONTAINE_LUN_CS_131003;11870;5;;;1;13092;16,56;2,78;0;19,34;GAM;131003;NO;T02;LUN;CS
AUTO29042;12/6/2023;12/6/2023;12/6/2023;Collecte;j364urbaz5;NE_T01_TRONC MEYS2_LUN JEU_OMR_110004;13040;1968;;;220;21882;19,5;15,54;0,04;35,04;GAM;110004;NE;T01;LUN JEU;OMR
AUTO29043;12/6/2023;12/6/2023;;Collecte;37qykhmywu;NE_T06_SMH COLLECTIF_LUN_OMR_101012;84;1093;4115;;84;0;0,02;27,32;0,02;27,34;GAM;101012;NE;T06;LUN;OMR
AUTO29044;12/6/2023;12/6/2023;;Collecte;zp1g9jrpi1;NO_T16_20EME POLLUEES_LUN_CS P_152000;155;620;3942;;155;0;0,13;57,84;0,13;57,97;GAM;152000;NO;T16;LUN;CS P
AUTO29045;12/6/2023;12/6/2023;12/6/2023;Collecte;h7qn96fkxd;NE_T07_SMH COLLECTIF_LUN_OMR_101013;9909;836;;;;20027;11,96;33,38;;45,34;GAM;101013;NE;T07;LUN;OMR
AUTO29046;12/6/2023;12/6/2023;12/6/2023;Collecte;egru8o9gip;NE_T04_MURIA SMH MUR_LUN_OMR_116011;8011;40;934;;125;16162;18,18;33,86;0,05;52,04;GAM;116011;NE;T04;LUN;OMR
AUTO29047;12/6/2023;12/6/2023;12/6/2023;Collecte;ighzc1n730;NO_T04_SASSENAGE_LUN_CS_133004;3993;700;;;;18951;4;56,06;;60,06;GAM;133004;NO;T04;LUN;CS
AUTO29049;12/6/2023;12/6/2023;;Collecte;AhnI9sMNTj;NO_T01_FONTAINE_LUN_CS_131001;13336;604;1348;;238;0;16,19;34,48;0,14;50,67;GAM;131001;NO;T01;LUN;CS
AUTO29048;12/6/2023;12/6/2023;12/6/2023;Collecte;48siz8x96i;NE_T10_GRE HUGO TEISSEIRE_LUN JEU_OMR_110008;6263;11;404;;13;13049;8,21;21,9;0,01;30,11;GAM;110008;NE;T10;LUN JEU;OMR
AUTO29050;12/6/2023;12/6/2023;;Collecte;qshw7egqjb;NE_T16_GRE BRO VILLEBOIS POT_OMR_LUN JEU_110025;6023;530;4679;;42;0;7,63;19,24;0,01;26,87;GAM;110025;NE;T16;OMR;LUN JEU
AUTO29051;12/6/2023;12/6/2023;12/6/2023;Collecte;7lqyjw34p3;NO_T08_ST MARTIN LE VI_LUN_CS_143008;14006;20;;;91;19369;22,25;39,38;0,05;61,63;GAM;143008;NO;T08;LUN;CS
AUTO29053;12/6/2023;12/6/2023;;Collecte;ih6g9vhdlz;NO_T07_ST EGREVE SUD_LUN_CS_142007;121;459;;;121;0;0,09;61,66;0,09;61,75;GAM;142007;NO;T07;LUN;CS
AUTO29052;12/6/2023;12/6/2023;12/6/2023;Collecte;claael2j88;NO_T13_GRE CHORIER_LUN JEU_CS_151004;58;1361;;;58;19963;0,01;40,43;0,01;40,44;GAM;151004;NO;T13;LUN JEU;CS
AUTO29068;12/6/2023;12/6/2023;;Collecte;y7gjux7fmc;;7295;526;3504;;133;0;6,45;42,66;0,06;49,11;GAM;;;;;
AUTO29054;12/6/2023;12/6/2023;12/6/2023;Collecte;sjqx4xjr33;NO_T05_SEYSSINET VERC_LUN_OMR_134009;10722;60;;;122;14660;27,72;18,17;0,09;45,89;GAM;134009;NO;T05;LUN;OMR
AUTO29055;12/6/2023;12/6/2023;;Collecte;o4d9t8p252;NE_T09_SMH COLLECTIF_LUN_OMR_101015;8317;1964;2495;;108;0;10,88;42,17;0,05;53,05;GAM;101015;NE;T09;LUN;OMR
AUTO29056;12/6/2023;12/6/2023;;Collecte;uwr44zs7w5;NE_T08_SMH COLLECTIF_LUN_OMR_101014;42;766;3726;;42;0;0,03;30,21;0,03;30,24;GAM;101014;NE;T08;LUN;OMR
AUTO29057;12/6/2023;12/6/2023;;Collecte;0jbxz085fw;NO_T11_GRE GARE LIBERA_LUN_CS_151008;0;973;637;;;0;0;51,79;;51,79;GAM;151008;NO;T11;LUN;CS
AUTO29058;12/6/2023;12/6/2023;;Collecte;bba8ef2dvl;NO_T03_SASSENAGE FONT_LUN_CS_130011;12297;47;;;134;0;15,3;37,43;0,12;52,73;GAM;130011;NO;T03;LUN;CS
AUTO29059;12/6/2023;12/6/2023;12/6/2023;Collecte;BqsVQSMm80;NE_T15_GRE POULAT CASERNE BONNE_OMR_LUN JEU_110023;7278;348;3990;;109;16046;7,67;18,21;0,1;25,88;GAM;110023;NE;T15;OMR;LUN JEU
AUTO29060;12/6/2023;12/6/2023;;Collecte;RJCrNlKBLn;NO_T06_ST EGREVE N_LUN JEU_CS_142006;121;535;1370;;121;0;0,13;66,39;0,13;66,52;GAM;142006;NO;T06;LUN JEU;CS
AUTO29099;12/6/2023;12/6/2023;;Collecte;v8ciubqaen;;0;2004;18988;;;0;0;55,92;;55,92;GAM;;;;;
AUTO29071;12/6/2023;12/6/2023;;Collecte;1hx5205tl5;;0;1575;2511;;;0;0;35,72;;35,72;GAM;;;;;
AUTO29061;12/6/2023;12/6/2023;;Collecte;bat8lwethv;NE_T12_GRE REY ABBAYE_OMR_LUN JEU;0;4631;265;;;0;0;27,81;;27,81;GAM;;NE;T12;OMR;LUN JEU
AUTO29062;12/6/2023;12/6/2023;;Collecte;oF7I4xGfPC;NE_T17_GRE GRENETTE MALHERBE_CS_MAR VEN_110006;7551;225;4791;;165;0;6,33;20,82;0,04;27,15;GAM;110006;NE;T17;CS;MAR VEN
AUTO29072;12/6/2023;12/6/2023;12/6/2023;Collecte;eiffgae8rm;;9625;452;2527;;275;15854;12,8;14,05;0,21;26,85;GAM;;;;;
AUTO29063;12/6/2023;12/6/2023;12/6/2023;Collecte;xbq43ggoqh;NE_T11_GRE ILE VERTE_OMR_LUN JEU;4886;60;4232;;125;16966;5,95;24,15;0,03;30,1;GAM;;NE;T11;OMR;LUN JEU
AUTO29073;12/6/2023;12/6/2023;12/6/2023;Collecte;3xwgytolne;;101;7893;;;101;18776;0,06;59,69;0,06;59,75;GAM;;;;;
AUTO29074;12/6/2023;12/6/2023;;Collecte;FnZSedjmt4;;7393;60;4535;;61;0;7,07;28,16;0,04;35,23;GAM;;;;;
AUTO29064;12/6/2023;12/6/2023;12/6/2023;Collecte;sx65jiyczg;NE_T02_TRONC MEYav t_JEU_CS_114002;141;1191;;;141;11426;0,04;24,38;0,04;24,42;GAM;114002;NE;T02;JEU;CS
AUTO29065;12/6/2023;12/6/2023;12/6/2023;Collecte;vnudajkzk5;NE_T05_SMH COLLECTIF_LUN_OMR_101023;239;2717;2134;;239;18244;0,08;40,7;0,08;40,78;GAM;101023;NE;T05;LUN;OMR
AUTO29066;12/6/2023;12/6/2023;12/6/2023;Collecte;g4tx3nrqg0;NO_T14_GRE EAUX C_LUN JEU_CS_151007;0;;;;;651;0;5,21;;5,21;GAM;151007;NO;T14;LUN JEU;CS
AUTO29067;12/6/2023;12/6/2023;;Collecte;g8k9apcqfs;NE_T14_GRE COLLECTIF_LUN_OMR_110009;0;467;2626;;;0;0;25,34;;25,34;GAM;110009;NE;T14;LUN;OMR
AUTO29069;12/6/2023;12/6/2023;;Collecte;9zz5ph3zpi;NE_T13_GRE ST URS HOCHE J ARC_OMR_ LUN JEU_110024;252;2450;1321;;252;0;0,11;36,93;0,11;37,04;GAM;110024;NE;T13;OMR; LUN JEU
AUTO29075;12/6/2023;12/6/2023;;Collecte;fknz9lrv64;;0;3458;1813;;;0;0;68,36;;68,36;GAM;;;;;
AUTO29115;13/6/2023;13/6/2023;;Collecte;ux94b14wke;NO_T06_ST EGREVE N_MAR VEN_OMR_142006;9601;60;3101;;97;0;17,03;36,41;0,08;53,44;GAM;142006;NO;T06;MAR VEN;OMR
AUTO29116;13/6/2023;13/6/2023;13/6/2023;Collecte;ighzc1n730;NO_T04_SASSENAGE_MAR_OMR_133004;3605;459;;;;19562;4,33;89,64;;93,97;GAM;133004;NO;T04;MAR;OMR
AUTO29117;13/6/2023;13/6/2023;13/6/2023;Collecte;vnudajkzk5;NE_T05_SMH COLLECTIF_MAR_CS_101023;70;568;6102;;70;17097;0,02;31,85;0,02;31,87;GAM;101023;NE;T05;MAR;CS
AUTO29118;13/6/2023;13/6/2023;13/6/2023;Collecte;h7qn96fkxd;NE_T07_SMH_COLLECTIF_MAR_CS_101013;8288;1923;3370;;60;30295;10,44;33,53;0;43,97;GAM;101013;NE;T07;COLLECTIF;MAR
AUTO29144;13/6/2023;13/6/2023;13/6/2023;Collecte;AhnI9sMNTj;NO_T01_FONTAINE_LUN_CS_131001;13851;60;;;139;19074;18,19;17,09;0,12;35,28;GAM;131001;NO;T01;LUN;CS
AUTO29119;13/6/2023;13/6/2023;13/6/2023;Collecte;uwr44zs7w5;NE_T08_SMH COLLECTIF_MAR_CS_101014;121;258;6861;;121;15688;0,06;22,31;0,06;22,37;GAM;101014;NE;T08;MAR;CS
AUTO29120;13/6/2023;13/6/2023;;Collecte;o4d9t8p252;NE_T BENNE SUP FERIES_SMH_LUN JEU_OMR;4936;419;4744;;135;0;8,52;33,03;0,04;41,55;GAM;;NE;T BENNE SUP FERIES;LUN JEU;OMR
AUTO29121;13/6/2023;13/6/2023;;Collecte;ih6g9vhdlz;NO_T07_ST EGREVE SUD_MAR_OMR_142007;110;660;906;;110;0;0,08;58,4;0,08;58,48;GAM;142007;NO;T07;MAR;OMR
AUTO29122;13/6/2023;13/6/2023;13/6/2023;Collecte;egru8o9gip;NE_T04_DOMENE EST_MAR VEN_OMR_112009;12658;8;;;44;18638;20,27;36,66;0;56,93;GAM;112009;NE;T04;MAR VEN;OMR
AUTO29123;13/6/2023;13/6/2023;13/6/2023;Collecte;claael2j88;NO_T13_GRE CHORIER_MAR VEN_OMR_151004;63;1041;;;63;17202;0,02;40,75;0,02;40,77;GAM;151004;NO;T13;MAR VEN;OMR
AUTO29124;13/6/2023;13/6/2023;;Collecte;sjqx4xjr33;NO_T05_SEYSSINET D_MAR VEN_OMR_134009;8568;60;4672;;54;0;12,6;44,49;0;57,09;GAM;134009;NO;T05;MAR VEN;OMR
AUTO29125;13/6/2023;13/6/2023;;Collecte;0jbxz085fw;NO_T10_GRE VALLIER_MAR_OMR_151010;0;1302;2682;;;0;0;53,29;;53,29;GAM;151010;NO;T10;MAR;OMR
AUTO29126;13/6/2023;13/6/2023;13/6/2023;Collecte;qshw7egqjb;NE_T16_GRE BROC VILLEBOIS POT_CS_MAR VEN_110025;6342;1238;4079;;138;17633;7,15;17,84;0,02;24,99;GAM;110025;NE;T16;CS;MAR VEN
AUTO29127;13/6/2023;13/6/2023;;Collecte;7lqyjw34p3;NO_T08_ST MARTIN LE VI_MAR_OMR_143008;9995;60;1117;;102;0;15,05;67,41;0,07;82,46;GAM;143008;NO;T08;MAR;OMR
AUTO29148;13/6/2023;13/6/2023;;Collecte;RJCrNlKBLn;;240;1303;1295;;240;0;0,14;54,43;0,14;54,57;GAM;;;;;
AUTO29128;13/6/2023;13/6/2023;13/6/2023;Collecte;jvdwb1fexp;NE_T17_GRE GRENETTE MALHERBE_CS_MAR VEN_110006;0;774;279;;;12022;0;19,86;;19,86;GAM;110006;NE;T17;CS;MAR VEN
AUTO29146;13/6/2023;13/6/2023;;Collecte;1hx5205tl5;;0;377;4236;;;0;0;47,8;;47,8;GAM;;;;;
AUTO29129;13/6/2023;13/6/2023;13/6/2023;Collecte;g4tx3nrqg0;NO_T14_GRE EAUX C_MAR VEN_OMR_151007;0;60;;;;1662;0;5,34;;5,34;GAM;151007;NO;T14;MAR VEN;OMR
AUTO29130;13/6/2023;13/6/2023;;Collecte;bba8ef2dvl;NO_T03_SASSENAGE FONT_MAR_OMR_130011;14109;345;587;;289;0;15,08;64,99;0,21;80,07;GAM;130011;NO;T03;MAR;OMR
AUTO29131;13/6/2023;13/6/2023;;Collecte;pgf8clwyux;NO_T16_GRE 20EME RENF_MAR_OMR_151999;94;1513;3781;;94;0;0,09;37,32;0,09;37,41;GAM;151999;NO;T16;MAR;OMR
AUTO29132;13/6/2023;13/6/2023;13/6/2023;Collecte;48siz8x96i;NE_T10_GRE HUGO TEISSEIRE_MAR VEN_CS_110008;5905;477;;;14;10174;7,59;18,95;0;26,54;GAM;110008;NE;T10;MAR VEN;CS
AUTO29133;13/6/2023;13/6/2023;;Collecte;bat8lwethv;NE_T12_GRE REY ABBAYE_CS_MAR VEN;0;3805;3559;;;0;0;23,49;;23,49;GAM;;NE;T12;CS;MAR VEN
AUTO29134;13/6/2023;13/6/2023;;Collecte;g8k9apcqfs;NE_T14_GRE COLLECTIF_MAR_CS_110009;0;1100;5612;;;0;0;19,82;;19,82;GAM;110009;NE;T14;MAR;CS
AUTO29135;13/6/2023;13/6/2023;;Collecte;3xwgytolne;NO_T09_GRE MARTYRS_MAR VEN_OMR_151005;112;3503;;;112;0;0,07;42,13;0,07;42,2;GAM;151005;NO;T09;MAR VEN;OMR
AUTO29137;13/6/2023;13/6/2023;13/6/2023;Collecte;BqsVQSMm80;NE_T15_GRE POULAT CASERNE BONNE_CS_MAR VEN_110023;8689;682;1999;;16;16726;6,74;14,93;0,01;21,67;GAM;110023;NE;T15;CS;MAR VEN
AUTO29138;13/6/2023;13/6/2023;;Collecte;eiffgae8rm;NE_T03_MEYLAN S1_MAR VEN_CS_115003;12235;60;2488;;217;0;16,53;8,13;0,16;24,66;GAM;115003;NE;T03;MAR VEN;CS
AUTO29149;13/6/2023;13/6/2023;;Collecte;FnZSedjmt4;;8753;60;5795;;40;0;8,87;16,53;0;25,4;GAM;;;;;
AUTO29139;13/6/2023;13/6/2023;13/6/2023;Collecte;sx65jiyczg;NE_T02_CORENC LE HA tra_MAR_CS_111008;141;393;5537;;141;18028;0,08;26,91;0,08;26,99;GAM;111008;NE;T02;MAR;CS
AUTO29140;13/6/2023;13/6/2023;;Collecte;9zz5ph3zpi;NE_T13_GRE ST URS HOCHE J ARC_CS_ MAR VEN_110024;105;2675;4574;;105;0;0,06;28,84;0,06;28,9;GAM;110024;NE;T13;CS; MAR VEN
AUTO29141;13/6/2023;13/6/2023;;Collecte;xbq43ggoqh;NE_T11_GRE ILE VERTE_CS_MAR VEN;5029;60;2840;;82;0;5,9;23,2;0,03;29,1;GAM;;NE;T11;CS;MAR VEN
AUTO29142;13/6/2023;13/6/2023;;Collecte;37qykhmywu;NE_T06_SMH COLLECTIF_MAR_CS_101012;38;473;4811;;38;0;0,01;17,98;0,01;17,99;GAM;101012;NE;T06;MAR;CS
AUTO29143;13/6/2023;13/6/2023;;Autre;zp1g9jrpi1;NO_TSAV_MAINTENANCE;79;456;2204;;79;0;0,04;46,59;0,04;46,63;GAM;;NO;TSAV;;
AUTO29145;13/6/2023;13/6/2023;13/6/2023;Collecte;g4tx3nrqg0;NO_T14_GRE EAUX C_MAR VEN_OMR_151007;0;60;;;;3728;0;3,64;;3,64;GAM;151007;NO;T14;MAR VEN;OMR
AUTO29150;13/6/2023;13/6/2023;;Collecte;fknz9lrv64;;0;2774;2616;;;0;0;42,71;;42,71;GAM;;;;;
AUTO29152;13/6/2023;13/6/2023;13/6/2023;Transport;Bj5S5eVr9N;;610;3371;119;;610;10792;0,19;48,87;0,19;49,06;GAM;;;;;
AUTO29154;13/6/2023;13/6/2023;13/6/2023;Collecte;cpixtr8npf;;0;3359;659;;;17266;0;96,68;;96,68;GAM;;;;;
AUTO29070;12/6/2023;12/6/2023;12/6/2023;Collecte;g4tx3nrqg0;NO_T14_GRE EAUX C_LUN JEU_CS_151007;0;421;;;;6644;0;7,86;;7,86;GAM;151007;NO;T14;LUN JEU;CS
AUTO29076;12/6/2023;12/6/2023;;Collecte;pvqkjig664;;0;4718;3969;;;0;0;34,24;;34,24;GAM;;;;;
AUTO29077;12/6/2023;12/6/2023;;Transport;Bj5S5eVr9N;;519;4151;1530;;519;0;0,33;134,77;0,33;135,1;GAM;;;;;
AUTO29079;12/6/2023;12/6/2023;12/6/2023;Transport;m6n5m046hj;;279;1204;224;;279;6659;0,17;21,07;0,17;21,24;GAM;;;;;
AUTO29080;12/6/2023;12/6/2023;;Transport;61FRWBjauh;;1001;3567;3895;;1001;0;0,24;109,58;0,24;109,82;GAM;;;;;
AUTO29078;12/6/2023;12/6/2023;12/6/2023;Collecte PAV;8qtjzvpvsd;test pav;260;9685;395;;260;19243;0,22;43,32;0,22;43,54;GAM;;test pav;;;
AUTO29081;12/6/2023;12/6/2023;12/6/2023;Collecte PAV;cewxgzybhe;test pav;114;9472;1677;;114;18320;0,06;60,35;0,06;60,41;GAM;;test pav;;;
AUTO29084;12/6/2023;12/6/2023;;Collecte PAV;37ix70x3dv;;173;6390;180;;173;0;0,08;100,71;0,08;100,79;GAM;;;;;
AUTO29082;12/6/2023;12/6/2023;;Collecte;g4tx3nrqg0;NO_T14_GRE EAUX C_LUN JEU_CS_151007;0;443;3676;;;0;0;22,86;;22,86;GAM;151007;NO;T14;LUN JEU;CS
AUTO29083;12/6/2023;12/6/2023;;Collecte PAV;Mbtg7C288o;TEST PAV_1771_LA LUIRE_MER_CS_170005;63;3594;461;;63;0;0,08;32,28;0,08;32,36;GAM;170005;TEST PAV;1771;MER;CS
AUTO29085;12/6/2023;12/6/2023;;Collecte;ikv5vt40ba;SUD_T12_PONT CL OUEST_VEN_OMR_120048;132;1155;;;132;0;0,07;90,73;0,07;90,8;GAM;120048;SUD;T12;VEN;OMR
AUTO29086;12/6/2023;12/6/2023;;Collecte;lwijga02re;GS_T07_VIF 2_LUN_OMR_129016;159;111;1199;;159;0;0,16;85,32;0,16;85,48;GAM;129016;GS;T07;LUN;OMR
AUTO29087;12/6/2023;12/6/2023;;Collecte;j1h4gptjli;GS_T06_VIF 1_LUN_OMR_129016;7690;195;;;22;0;19,61;84,36;0,01;103,97;GAM;129016;GS;T06;LUN;OMR
AUTO29088;12/6/2023;12/6/2023;12/6/2023;Collecte;HHrKcPoPW1;SUD_T06_CLAIX HT_LUN_OMR_120051;10169;253;;;149;16443;17,81;43,67;0,08;61,48;GAM;120051;SUD;T06;LUN;OMR
AUTO29089;12/6/2023;12/6/2023;;Collecte;uqvjh3gzxu;SUD_T10_IDENTIF_LUN_CS_120063;9289;60;;;68;0;12,12;26,57;0,03;38,69;GAM;120063;SUD;T10;LUN;CS
AUTO29090;12/6/2023;12/6/2023;12/6/2023;Collecte;y2qwjva4su;GS_T08_VIZILLE_LUN_OMR_160005;9436;40;507;;79;16265;16,09;77,48;0,02;93,57;GAM;160005;GS;T08;LUN;OMR
AUTO29091;12/6/2023;12/6/2023;12/6/2023;Collecte;u16rgi3exd;SUD_T05_GRE CP ECH COL_LUN_CS_120013;4914;209;;;53;15012;3,59;41,09;0,02;44,68;GAM;120013;SUD;T05;LUN;CS
